dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
10,1,0,1,0,1,1,1,0.150833,0.482917,0.223267,1321,1751.17279960317
12,1,0,1,0,3,1,1,0.172727,0.599545,0.304627,1162,1775.00778174603
13,1,0,1,0,4,1,1,0.165,0.470417,0.301,1406,1897.07855753968
15,1,0,1,0,6,0,2,0.233333,0.49875,0.157963,1248,1809.42505952381
16,1,0,1,0,0,0,1,0.231667,0.48375,0.188433,1204,1908.98180952381
17,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,1000,1835.27637698413
19,1,0,1,0,3,1,2,0.292174,0.741739,0.208317,1650,2122.05475333694
20,1,0,1,0,4,1,2,0.261667,0.538333,0.195904,1927,2008.09366865079
25,1,0,1,0,2,1,2,0.223478,0.616957,0.129796,1985,1709.80233964646
29,1,0,1,0,6,0,1,0.196522,0.651739,0.145365,1098,1780.39636904762
14,1,0,2,0,1,1,1,0.415,0.375833,0.417908,1913,2418.93780555556
08,1,0,3,0,2,1,1,0.2925,0.420833,0.12065,2133,2402.98718308081
17,1,0,3,0,4,1,1,0.415,0.602917,0.209579,2744,2855.43596626984
18,1,0,3,0,5,1,1,0.54,0.525217,0.231017,3239,3493.88830952381
20,1,0,3,0,0,0,1,0.3325,0.47375,0.207721,2471,2489.41176785714
26,2,0,3,0,6,0,1,0.265833,0.394167,0.209571,2496,2733.37872916667
28,2,0,3,0,1,1,1,0.264348,0.302174,0.212204,2028,2824.20930747127
29,2,0,3,0,2,1,1,0.3025,0.314167,0.226996,2425,2950.64643048714
30,2,0,3,0,3,1,2,0.3,0.646667,0.172888,1536,2903.44820634921
08,2,0,4,0,5,1,2,0.335833,0.83625,0.226992,1471,3003.74291666667
10,2,0,4,0,0,0,2,0.426667,0.8575,0.146767,2895,3468.24208333333
16,2,0,4,0,6,0,3,0.430833,0.888333,0.340808,795,2641.22294642857
21,2,0,4,0,4,1,1,0.459167,0.407083,0.325258,4189,3805.28996428571
24,2,0,4,0,0,0,2,0.581667,0.810833,0.192175,4191,4164.84425
01,2,0,5,0,0,0,2,0.451667,0.762083,0.106354,3351,4089.13091666666
04,2,0,5,0,3,1,2,0.414167,0.737083,0.328996,2633,3557.20851190476
09,2,0,5,0,1,1,1,0.5325,0.58875,0.176,4362,4526.04686501095
11,2,0,5,0,3,1,1,0.5425,0.632917,0.120642,4182,4765.39239231602
13,2,0,5,0,5,1,2,0.5125,0.863333,0.179725,4105,4010.44150793651
14,2,0,5,0,6,0,2,0.520833,0.9225,0.13495,3409,3968.99124891775
15,2,0,5,0,0,0,2,0.5625,0.867083,0.152979,4553,4407.01837698413
18,2,0,5,0,3,1,2,0.55,0.87,0.201492,3855,4218.71505555555
20,2,0,5,0,5,1,1,0.536667,0.719583,0.125013,4917,4593.45548809524
23,2,0,5,0,1,1,2,0.631667,0.81,0.233842,4274,4225.98688888889
02,2,0,6,0,4,1,1,0.715,0.305,0.292287,4968,4802.52404326909
04,2,0,6,0,6,0,1,0.635,0.45625,0.123142,5342,4989.75818055555
10,2,0,6,0,5,1,1,0.755,0.605,0.140554,4586,4721.93898170308
11,2,0,6,0,6,0,1,0.725,0.654583,0.15485,4966,4918.98862626263
12,2,0,6,0,0,0,1,0.6925,0.747917,0.163567,4460,4699.34978366174
21,3,0,6,0,2,1,2,0.680833,0.770417,0.171025,4835,4301.14763888889
01,3,0,7,0,5,1,1,0.7225,0.39625,0.102608,5362,4693.9665
09,3,0,7,0,6,0,1,0.733333,0.609167,0.167912,5336,4780.71012619421
15,3,0,7,0,5,1,1,0.663333,0.59125,0.182833,5538,4703.13155747127
16,3,0,7,0,6,0,1,0.686667,0.585,0.208342,5923,4757.19140270936
24,3,0,7,0,0,0,1,0.83,0.550833,0.169171,3606,4564.17888095238
31,3,0,7,0,0,0,1,0.805833,0.480833,0.164813,4302,4548.04658333333
04,3,0,8,0,4,1,2,0.71,0.7575,0.19715,4576,4356.25459722222
08,3,0,8,0,1,1,1,0.765,0.592083,0.192175,4326,4457.15276362949
13,3,0,8,0,6,0,2,0.685833,0.729583,0.211454,4150,4347.00008333333
14,3,0,8,0,0,0,2,0.676667,0.8175,0.222633,3820,4213.89047222222
22,3,0,8,0,1,1,1,0.691667,0.47,0.27675,4758,4580.16852849928
23,3,0,8,0,2,1,1,0.640833,0.455417,0.146763,5895,4642.4557549176
04,3,0,9,0,0,0,1,0.709167,0.742083,0.206467,4940,4675.26473160173
08,3,0,9,0,4,1,3,0.633913,0.939565,0.192748,1842,3483.72902272727
09,3,0,9,0,5,1,2,0.65,0.897917,0.124379,3544,4022.87745940171
14,3,0,9,0,3,1,1,0.673333,0.697083,0.1673,4785,4784.50546818555
15,3,0,9,0,4,1,2,0.5775,0.709167,0.271146,3659,4524.40238888889
16,3,0,9,0,5,1,2,0.469167,0.590417,0.164183,4760,4287.57235840548
17,3,0,9,0,6,0,2,0.491667,0.718333,0.189675,4511,4532.35508333333
19,3,0,9,0,1,1,2,0.549167,0.69,0.151742,4539,4468.48934722222
22,3,0,9,0,4,1,2,0.628333,0.902083,0.128125,4795,3903.58390384615
10,4,0,10,1,1,0,1,0.570833,0.73375,0.0423042,5117,4874.11396428572
19,4,0,10,0,3,1,3,0.541739,0.895217,0.243339,2424,3443.583
24,4,0,10,0,1,1,1,0.463333,0.772083,0.118792,4187,4127.24333333333
03,4,0,11,0,4,1,1,0.408333,0.702083,0.136817,3974,3812.78472619048
07,4,0,11,0,1,1,1,0.395,0.75875,0.057225,4035,3789.77339285714
19,4,0,11,0,6,0,1,0.329167,0.502083,0.224496,3663,3813.49334523809
04,4,0,12,0,0,0,1,0.330833,0.775833,0.0839583,3485,3434.17858333333
08,4,0,12,0,4,1,1,0.265833,0.58,0.240058,3322,3327.43433333333
10,4,0,12,0,6,0,1,0.275,0.5075,0.233221,3190,3342.83258333333
12,4,0,12,0,1,1,1,0.238333,0.670833,0.06345,3310,3442.82416666667
15,4,0,12,0,4,1,2,0.4225,0.634167,0.268042,3709,3693.75575
21,1,0,12,0,3,1,2,0.428333,0.858333,0.2214,2660,2708.54424404762
28,1,0,12,0,3,1,1,0.29913,0.503913,0.293961,2302,2555.66693452381
05,1,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272,3461.81580555556
12,1,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097,3465.73752795816
20,1,1,1,0,5,1,2,0.2175,0.45,0.20275,3163,3128.28199404762
24,1,1,1,0,2,1,1,0.3425,0.835833,0.123767,4339,3106.15372727273
05,1,1,2,0,0,0,2,0.265833,0.687917,0.175996,2947,2983.15171843434
09,1,1,2,0,4,1,1,0.265,0.562083,0.194037,3830,3276.57825
14,1,1,2,0,2,1,2,0.319167,0.50875,0.141179,3922,3708.92401010101
15,1,1,2,0,3,1,1,0.348333,0.53125,0.1816,4169,4020.56653787879
21,1,1,2,0,2,1,1,0.287826,0.594348,0.205717,3777,3515.05575
22,1,1,2,0,3,1,1,0.395833,0.567917,0.234471,4773,3857.60037121212
23,1,1,2,0,4,1,1,0.454167,0.554583,0.190913,5062,4785.02954978355
24,1,1,2,0,5,1,2,0.4075,0.7375,0.237567,3487,3574.26386507937
04,1,1,3,0,0,0,1,0.325833,0.403333,0.334571,3423,3725.93783333334
06,1,1,3,0,2,1,1,0.258333,0.456667,0.200875,3956,3642.39523412698
10,1,1,3,0,6,0,1,0.2875,0.350417,0.22575,4118,3830.27206746032
14,1,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312,5502.70398809524
18,1,1,3,0,0,0,2,0.4725,0.81,0.126883,5892,4834.46432142857
20,1,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093,5341.86552380952
22,2,1,3,0,4,1,1,0.554167,0.83125,0.117562,6871,5350.06736111111
01,2,1,4,0,0,0,2,0.425833,0.67625,0.172267,6041,5037.11267424243
02,2,1,4,0,1,1,1,0.433913,0.504348,0.312139,5936,5353.5261722583
08,2,1,4,0,0,0,1,0.5,0.275833,0.232596,5169,6124.46862662337
16,2,1,4,1,1,0,1,0.664167,0.561667,0.284829,6370,6172.822375
25,2,1,4,0,3,1,1,0.476667,0.427917,0.118792,6196,6181.66666017316
28,2,1,4,0,6,0,2,0.376667,0.489583,0.129975,4220,4945.62983058608
29,2,1,4,0,0,0,1,0.458333,0.587083,0.116908,6304,5836.30392124542
03,2,1,5,0,4,1,2,0.56,0.768333,0.133696,6421,5769.30712337662
13,2,1,5,0,0,0,1,0.6125,0.57625,0.225117,6118,6342.35329822955
17,2,1,5,0,4,1,1,0.593333,0.52,0.229475,7384,6443.67218055555
18,2,1,5,0,5,1,1,0.564167,0.523333,0.136817,7639,6198.4179200938
21,2,1,5,0,1,1,2,0.598333,0.81125,0.233204,4359,5126.10774604743
24,2,1,5,0,4,1,1,0.655,0.716667,0.172896,6770,6177.07215277778
31,2,1,5,0,4,1,1,0.68,0.492917,0.195279,7338,6285.10148611111
01,2,1,6,0,5,1,2,0.654167,0.755417,0.237563,4127,5740.97390909091
06,2,1,6,0,3,1,1,0.554167,0.61125,0.077125,7055,6901.02638194444
10,2,1,6,0,0,0,1,0.726667,0.538333,0.133721,6598,6533.56624267399
21,3,1,6,0,4,1,1,0.805833,0.567917,0.118787,5905,6505.79874074074
26,3,1,6,0,2,1,1,0.630833,0.373333,0.347642,7442,6297.45942063492
01,3,1,7,0,0,0,1,0.815833,0.51875,0.168529,5531,5858.93213690476
12,3,1,7,0,4,1,1,0.715833,0.529583,0.146775,7446,6683.28528042328
15,3,1,7,0,0,0,1,0.745833,0.717917,0.166667,6031,6268.422
26,3,1,7,0,4,1,1,0.776667,0.596667,0.284813,6861,6078.02494444445
30,3,1,7,0,1,1,1,0.730833,0.66875,0.153617,7105,6406.17787962963
09,3,1,8,0,4,1,1,0.755833,0.620417,0.1561,7286,6823.90223875662
12,3,1,8,0,0,0,1,0.700833,0.530417,0.122512,6544,6713.54400457875
13,3,1,8,0,1,1,1,0.720833,0.545417,0.136212,6883,6626.87032407408
17,3,1,8,0,5,1,1,0.723333,0.570833,0.231354,7148,6672.83912301587
18,3,1,8,0,6,0,1,0.678333,0.603333,0.177867,7865,6456.32379761905
31,3,1,8,0,5,1,1,0.764167,0.5875,0.168533,7350,6378.68114772727
01,3,1,9,0,6,0,2,0.753333,0.638333,0.113187,6140,6469.09016666667
06,3,1,9,0,4,1,2,0.696667,0.810417,0.142421,6203,5897.28015740741
07,3,1,9,0,5,1,1,0.703333,0.73625,0.171646,7504,6426.40691931217
10,3,1,9,0,1,1,1,0.583333,0.50375,0.258713,7525,6690.39052164502
13,3,1,9,0,4,1,1,0.6125,0.637083,0.0827208,7804,7151.18748755411
15,3,1,9,0,6,0,1,0.608333,0.501667,0.247521,8714,7106.93555952381
17,3,1,9,0,1,1,2,0.580833,0.734583,0.151742,6869,6027.166813147
18,3,1,9,0,2,1,2,0.623333,0.8725,0.357587,4073,4456.59657142857
29,4,1,9,0,6,0,1,0.5425,0.542917,0.227604,8555,6896.45433333333
01,4,1,10,0,1,1,2,0.520833,0.649167,0.0908042,6778,6074.24516666667
04,4,1,10,0,4,1,2,0.6575,0.722917,0.117546,7328,6412.76377272727
23,4,1,10,0,2,1,1,0.544167,0.641667,0.0945458,7466,6941.66777922078
25,4,1,10,0,4,1,2,0.55,0.800417,0.124375,7359,6148.88977272727
28,4,1,10,0,0,0,2,0.4775,0.694583,0.398008,4459,5330.04052380952
31,4,1,10,0,3,1,2,0.3575,0.666667,0.166667,5566,4945.18533333333
03,4,1,11,0,6,0,2,0.343333,0.49125,0.270529,5138,4701.79473378192
04,4,1,11,0,0,0,1,0.325833,0.532917,0.179108,5107,4589.08871474359
06,4,1,11,0,2,1,1,0.280833,0.567083,0.173513,5686,4774.87802095127
30,4,1,11,0,5,1,1,0.298333,0.649583,0.0584708,5668,4688.16700579976
16,4,1,12,0,0,0,2,0.3625,0.83875,0.100742,3786,4373.86563095238
23,1,1,12,0,0,0,1,0.245833,0.515417,0.133083,1787,2891.53266666667
29,1,1,12,0,6,0,2,0.253333,0.752917,0.124383,1341,3004.143125
30,1,1,12,0,0,0,1,0.255833,0.483333,0.350754,1796,2934.05766269841
31,1,1,12,0,1,1,2,0.215833,0.5775,0.154846,2729,3139.14018039087
