dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,pred_cnt
14,1,1,2,0,2,1,2,0.31916700000000003,0.50875,0.141179,3716.225
26,1,1,1,0,4,1,2,0.341667,0.769583,0.07339580000000001,3214.565
15,4,1,10,0,1,1,2,0.561667,0.7075,0.296037,6420.92
17,3,1,7,0,2,1,1,0.818333,0.505833,0.114429,5824.205
25,2,1,5,0,5,1,1,0.68,0.7470829999999999,0.14055,6847.11
30,3,0,8,0,2,1,1,0.639167,0.548333,0.12500799999999998,4815.17
14,2,0,5,0,6,0,2,0.520833,0.9225,0.13495,3582.895
16,2,0,4,0,6,0,3,0.43083299999999997,0.888333,0.340808,2358.03
16,3,1,8,0,4,1,1,0.719167,0.519167,0.141796,7481.315
20,1,1,2,1,1,0,1,0.28,0.507826,0.22908299999999998,3048.145
08,3,1,8,0,3,1,2,0.75,0.672917,0.1107,7073.815
15,2,1,5,0,2,1,2,0.611667,0.794583,0.147392,5692.55
05,4,0,11,0,6,0,1,0.326667,0.519167,0.18906199999999998,3651.085
29,3,0,7,0,5,1,1,0.838333,0.5425,0.17413800000000001,3698.39
28,3,1,7,0,6,0,1,0.755833,0.613333,0.15735,7168.735
14,4,1,11,0,3,1,1,0.289167,0.552083,0.199625,5290.24
22,3,1,8,0,3,1,1,0.6675,0.677083,0.0702833,7434.845
07,2,1,4,0,6,0,1,0.4375,0.25416700000000003,0.274871,6267.265
16,4,0,10,0,0,0,1,0.511667,0.486667,0.281717,4669.115
12,3,1,7,0,4,1,1,0.7158329999999999,0.529583,0.146775,7438.36
22,3,0,6,0,3,1,1,0.733333,0.7075,0.172262,4450.575
18,2,1,6,0,1,1,2,0.568333,0.777917,0.174746,5590.855
06,2,0,5,0,5,1,1,0.479167,0.59,0.228246,4710.43
18,3,0,9,0,0,0,1,0.5075,0.695,0.178483,4604.01
20,4,0,12,0,2,1,2,0.385833,0.595417,0.06157080000000001,3629.88
02,1,0,3,0,3,1,1,0.335,0.449583,0.30783299999999997,2089.445
22,4,1,11,1,4,0,1,0.34,0.580417,0.05287080000000001,5095.35
20,3,0,7,0,3,1,1,0.768333,0.707083,0.113817,4202.64
05,1,0,3,0,6,0,2,0.384167,0.789167,0.251871,2151.055
14,4,0,11,0,1,1,1,0.53,0.587083,0.306596,4310.505
08,2,0,5,0,0,0,1,0.5283329999999999,0.631667,0.0746375,5144.37
03,3,1,9,1,1,0,1,0.7075,0.790833,0.151121,6134.115
08,4,1,11,0,4,1,1,0.352174,0.333478,0.347835,4476.225
11,2,1,5,0,5,1,1,0.533333,0.360417,0.23693699999999998,7122.905
23,1,1,12,0,0,0,1,0.245833,0.515417,0.13308299999999998,2458.58
30,3,0,7,0,6,0,1,0.804167,0.465833,0.168537,4593.845
24,1,1,2,0,5,1,2,0.4075,0.7375,0.237567,3654.395
08,4,0,11,0,2,1,1,0.408333,0.7216670000000001,0.0690375,3704.475
26,2,0,4,0,2,1,1,0.631667,0.729167,0.3265,4016.295
13,3,0,9,0,2,1,1,0.650833,0.7125,0.14180399999999999,4698.09
26,1,1,2,0,0,0,1,0.279167,0.41,0.205229,3188.505
03,4,0,10,0,1,1,2,0.384167,0.760833,0.08334580000000001,3760.42
13,1,1,2,0,1,1,1,0.2225,0.41125,0.167283,2698.065
10,3,1,8,0,5,1,2,0.7158329999999999,0.7158329999999999,0.238813,6458.845
28,4,1,9,0,5,1,2,0.619167,0.69,0.164179,7581.08
11,4,1,12,0,2,1,2,0.353333,0.5966670000000001,0.296037,5261.255
23,2,0,3,0,3,1,2,0.346957,0.839565,0.23426100000000002,1852.27
14,2,1,4,0,6,0,1,0.495,0.5029170000000001,0.190917,6054.085
30,2,1,5,0,3,1,2,0.656667,0.67,0.134329,6844.345
19,3,1,7,0,4,1,1,0.77,0.600417,0.165429,6432.385
27,1,1,1,0,5,1,2,0.425,0.74125,0.342667,4675.085
27,2,0,5,0,5,1,1,0.681667,0.65375,0.240679,4761.08
21,1,0,12,0,3,1,2,0.428333,0.858333,0.2214,2615.175
07,1,1,2,0,2,1,1,0.354167,0.49625,0.147379,4133.305
05,3,1,8,0,0,0,1,0.769167,0.6525,0.290421,6518.445
04,2,1,6,0,1,1,1,0.5975,0.487083,0.284833,7283.48
19,3,1,9,0,3,1,1,0.5525,0.536667,0.215175,7734.635
17,4,1,11,0,6,0,1,0.325,0.545417,0.179729,5365.695
11,3,1,7,0,3,1,1,0.716667,0.633333,0.15173299999999998,7333.525
05,3,1,9,0,3,1,1,0.736667,0.74125,0.187808,6898.545
11,1,1,1,0,3,1,2,0.274167,0.8475,0.131221,2672.56
10,1,0,3,0,4,1,3,0.38909099999999996,0.0,0.26187699999999997,2355.985
16,2,0,5,0,1,1,1,0.5775,0.787917,0.126871,4474.4
03,1,1,2,0,5,1,1,0.313333,0.526667,0.17849600000000002,3735.54
27,1,0,12,0,2,1,2,0.325,0.7625,0.18845,1871.035
21,2,1,3,0,3,1,2,0.531667,0.82125,0.08955830000000001,5673.5
16,4,1,10,0,2,1,1,0.468333,0.558333,0.182221,6812.615
09,2,1,6,0,6,0,1,0.710833,0.437083,0.144287,7593.075
14,1,0,3,0,1,1,1,0.32521700000000003,0.496957,0.136926,2202.87
23,2,0,5,0,1,1,2,0.631667,0.81,0.233842,4115.53
07,1,1,3,0,3,1,1,0.404167,0.513333,0.345779,4416.395
19,2,1,4,0,4,1,1,0.49833299999999997,0.6125,0.0659292,6353.155
31,3,1,7,0,2,1,1,0.713333,0.704167,0.165425,6784.075
08,4,0,10,0,6,0,1,0.521667,0.70125,0.0454042,5116.345
20,4,1,11,0,2,1,2,0.374167,0.685,0.082725,4657.99
06,4,0,12,0,2,1,3,0.4625,0.949583,0.23258299999999998,2273.895
18,3,0,7,0,1,1,1,0.746667,0.65125,0.215804,4220.9
19,1,1,3,0,1,1,1,0.545,0.72875,0.16231700000000002,6285.07
07,1,0,2,0,1,1,1,0.271667,0.738333,0.045408300000000006,1809.63
14,2,0,6,0,2,1,1,0.604167,0.507083,0.269283,4870.015
08,4,1,12,0,6,0,2,0.38166700000000003,0.91125,0.101379,3907.34
28,1,0,1,0,5,1,2,0.203478,0.793043,0.1233,830.3
02,1,0,1,0,0,0,2,0.363478,0.696087,0.24853899999999998,1727.68
25,2,1,4,0,3,1,1,0.476667,0.427917,0.11879200000000001,6371.865
26,3,1,7,0,4,1,1,0.776667,0.5966670000000001,0.28481300000000004,6162.63
10,2,1,5,0,4,1,1,0.505833,0.552083,0.31406300000000004,6104.485
23,3,1,8,0,4,1,1,0.695833,0.635833,0.08459580000000001,7559.71
29,4,1,11,0,4,1,1,0.28087,0.555652,0.115522,5039.175
09,2,1,5,0,3,1,2,0.575,0.744167,0.216412,6018.685
18,3,1,9,0,2,1,2,0.623333,0.8725,0.357587,4380.515
29,1,1,1,0,0,0,1,0.2825,0.31125,0.24005,3250.38
05,1,1,3,0,1,1,1,0.243333,0.50625,0.228858,2665.09
19,4,0,10,0,3,1,3,0.5417390000000001,0.895217,0.243339,2736.15
03,3,1,8,0,5,1,2,0.765833,0.6425,0.215792,6731.685
24,1,0,2,0,4,1,2,0.295652,0.697391,0.250496,1755.645
21,2,1,4,0,6,0,1,0.57,0.682917,0.283587,6794.97
13,1,1,1,0,5,1,1,0.274167,0.5075,0.378108,2878.18
31,4,0,10,0,1,1,1,0.34,0.703333,0.10635,3278.085
24,4,0,11,1,4,0,1,0.37333299999999997,0.549167,0.167304,3291.575
01,4,0,11,0,2,1,1,0.400833,0.68375,0.135571,3748.775
11,4,1,11,0,0,0,1,0.420833,0.6591670000000001,0.1275,5487.56
01,2,0,6,0,3,1,2,0.764167,0.677083,0.207092,4137.34
22,2,0,5,0,0,0,1,0.604167,0.749583,0.148008,4646.415
23,4,0,10,0,0,0,1,0.421667,0.74125,0.0995125,3641.52
07,3,0,8,0,0,0,1,0.7425,0.7529170000000001,0.201487,4348.45
23,4,0,9,0,5,1,2,0.609167,0.9725,0.0783667,4270.145
15,4,0,12,0,4,1,2,0.4225,0.634167,0.268042,3596.785
03,3,1,7,0,2,1,1,0.780833,0.492083,0.126237,6372.235
23,1,0,1,0,0,0,1,0.0965217,0.436522,0.2466,1039.36
10,4,0,12,0,6,0,1,0.275,0.5075,0.233221,3339.285
19,3,0,7,0,2,1,1,0.776667,0.650417,0.1306,4126.615
04,4,1,11,0,0,0,1,0.325833,0.532917,0.179108,5029.995
07,3,0,7,0,4,1,1,0.75,0.65125,0.1592,4349.12
25,1,0,1,0,2,1,2,0.223478,0.616957,0.129796,1339.58
20,3,1,7,0,5,1,2,0.665833,0.844167,0.208967,4766.535
07,3,1,8,0,2,1,2,0.735833,0.70375,0.116908,6722.075
31,1,0,1,0,1,1,2,0.180833,0.60375,0.187192,1174.335
31,1,1,12,0,1,1,2,0.215833,0.5775,0.154846,2401.605
27,1,1,2,0,1,1,1,0.366667,0.490833,0.26803299999999997,4409.1
12,1,0,3,0,6,0,1,0.329167,0.594583,0.220775,2063.98
03,2,0,5,0,2,1,2,0.616667,0.697083,0.342667,3807.73
02,4,0,10,0,0,0,2,0.356667,0.791667,0.22201300000000002,3376.755
01,3,0,9,0,4,1,1,0.655,0.639167,0.141796,4790.235
27,4,0,11,0,0,0,1,0.459167,0.698333,0.208954,3777.33
20,3,1,8,0,1,1,2,0.635833,0.734167,0.12997899999999998,6598.34
27,2,1,4,0,5,1,1,0.4575,0.400833,0.34763299999999997,6042.14
27,4,1,9,0,4,1,2,0.65,0.690833,0.13434200000000002,7388.785
11,2,0,6,0,6,0,1,0.725,0.654583,0.15485,4928.625
26,4,1,9,0,3,1,1,0.635,0.630833,0.2444,7602.11
14,1,0,2,0,1,1,1,0.415,0.375833,0.417908,1990.35
05,3,0,7,0,2,1,1,0.746667,0.590417,0.12625799999999998,4420.995
03,4,0,11,0,4,1,1,0.408333,0.702083,0.136817,3629.13
17,4,1,12,0,1,1,2,0.393333,0.907083,0.0982583,3736.87
29,1,0,1,0,6,0,1,0.196522,0.6517390000000001,0.14536500000000002,952.275
28,1,1,1,0,6,0,1,0.315833,0.543333,0.210829,3693.96
10,2,0,4,0,0,0,2,0.426667,0.8575,0.146767,2787.835
25,3,1,6,0,1,1,1,0.7158329999999999,0.504167,0.300383,7048.015
27,3,1,7,0,5,1,1,0.781667,0.594583,0.15299200000000002,6088.51
19,4,0,12,0,1,1,1,0.276667,0.6375,0.172896,3186.01
11,2,0,4,0,1,1,2,0.5956520000000001,0.716956,0.324474,3277.865
08,3,0,7,0,5,1,2,0.709167,0.757917,0.225129,4138.2
07,3,1,9,0,5,1,1,0.703333,0.73625,0.171646,6942.745
24,4,0,10,0,1,1,1,0.463333,0.772083,0.11879200000000001,3610.095
26,3,0,8,0,5,1,1,0.7,0.76125,0.0839625,4809.245
22,3,1,9,0,6,0,1,0.65,0.646667,0.283583,7729.9
28,2,0,3,0,1,1,1,0.264348,0.302174,0.212204,2194.17
01,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,1794.58
